City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Lodwar,KE,79.66,broken clouds,3.12,35.6,Turkwel Lodge
4,Dwarka,IN,83.28,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
8,Pemangkat,ID,77.23,light rain,1.17,108.97,Kost H.Syamsuddin
26,Bethel,US,82.4,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
27,Waingapu,ID,79.95,scattered clouds,-9.66,120.26,Pondok Wisata Elim
35,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
40,Cockburn Town,TC,84.02,broken clouds,21.46,-71.14,Osprey Beach Hotel
41,Kailua,US,84.2,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
44,Butaritari,KI,83.21,overcast clouds,3.07,172.79,Isles Sunset Lodge
45,Kulhudhuffushi,MV,82.85,scattered clouds,6.62,73.07,Haajy Guest House 1
47,Kalmunai,LK,78.46,scattered clouds,7.42,81.82,VS Villa
48,Atuona,PF,78.31,scattered clouds,-9.8,-139.03,Villa Enata
50,Kapaa,US,86.0,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
55,Nanakuli,US,89.6,scattered clouds,21.39,-158.15,Camp Palehua
61,Karaton,ID,77.0,haze,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
64,Katsuura,JP,80.01,moderate rain,35.13,140.3,Katsuura Hotel Mikazuki
67,Mandera,KE,76.93,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
68,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
71,Hithadhoo,MV,83.1,clear sky,-0.6,73.08,Scoop Guest House
74,Nakanojo,JP,75.99,light rain,36.58,138.85,山木屋旅館
77,Kudahuvadhoo,MV,83.57,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
78,Weymouth,US,75.2,light rain,42.22,-70.94,"Boston Motel Weymouth/Boston, MA"
81,Robertsport,LR,76.24,moderate rain,6.75,-11.37,Kwepunha Retreat
86,Punto Fijo,VE,84.47,light rain,11.7,-70.2,Santa Fe Inn Hotel
87,Harper,LR,75.83,broken clouds,4.38,-7.72,Screensaver
92,Puerto Escondido,MX,84.2,moderate rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
