City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wladyslawowo,PL,54.79,18.4,64.99,100,65,3.36,mist
1,Northam,GB,51.03,-4.22,61.0,90,53,11.01,broken clouds
2,Chuy,UY,-33.7,-53.46,46.26,71,0,6.69,clear sky
3,Lodwar,KE,3.12,35.6,79.66,49,82,24.36,broken clouds
4,Dwarka,IN,22.24,68.97,83.28,86,100,19.19,light rain
5,Punta Arenas,CL,-53.15,-70.92,35.6,80,40,18.34,scattered clouds
6,Maragogi,BR,-9.01,-35.22,73.56,85,37,8.77,light rain
7,Norman Wells,CA,65.28,-126.83,69.8,49,20,12.75,few clouds
8,Pemangkat,ID,1.17,108.97,77.23,88,100,10.47,light rain
9,Busselton,AU,-33.65,115.33,51.01,86,39,9.08,scattered clouds
10,Prince Rupert,CA,54.32,-130.32,59.0,82,90,14.99,overcast clouds
11,Ponta Do Sol,PT,32.67,-17.1,73.4,73,20,14.99,few clouds
12,East London,ZA,-33.02,27.91,64.11,63,0,14.09,clear sky
13,Rikitea,PF,-23.12,-134.97,66.94,73,89,17.58,overcast clouds
14,Hobart,AU,-42.88,147.33,52.0,76,75,11.41,light intensity shower rain
15,Hermanus,ZA,-34.42,19.23,57.0,83,24,3.0,few clouds
16,Ostrogozhsk,RU,50.87,39.08,57.33,64,0,3.69,clear sky
17,Saint George,US,37.1,-113.58,102.99,21,1,12.75,clear sky
18,Port Alfred,ZA,-33.59,26.89,58.68,76,0,11.77,clear sky
19,Qaanaaq,GL,77.48,-69.36,37.94,86,100,1.97,overcast clouds
20,Srednekolymsk,RU,67.45,153.68,36.46,94,100,11.18,overcast clouds
21,Batemans Bay,AU,-35.72,150.18,57.0,67,11,5.99,few clouds
22,Shakawe,BW,-18.37,21.85,60.67,58,5,6.4,clear sky
23,Parkent,UZ,41.29,69.68,73.4,31,0,11.41,clear sky
24,Tarija,BO,-21.54,-64.73,46.0,54,91,2.35,overcast clouds
25,Albany,US,42.6,-73.97,82.99,61,0,6.17,clear sky
26,Bethel,US,41.37,-73.41,82.4,58,1,3.36,clear sky
27,Waingapu,ID,-9.66,120.26,79.95,61,26,9.33,scattered clouds
28,Tuktoyaktuk,CA,69.45,-133.04,53.6,81,20,12.75,few clouds
29,Dalvik,IS,65.97,-18.53,46.4,87,1,10.29,clear sky
30,Alberdi,AR,-32.89,-60.69,59.0,32,0,8.05,clear sky
31,Huambo,AO,-12.78,15.74,65.34,48,59,2.93,broken clouds
32,Sitka,US,57.05,-135.33,60.8,77,90,6.93,overcast clouds
33,Coolum Beach,AU,-26.53,153.1,61.0,35,0,5.01,clear sky
34,Severnyy,RU,50.68,36.55,57.2,67,0,4.47,clear sky
35,Vaini,TO,-21.2,-175.2,78.8,88,75,9.17,broken clouds
36,Mataura,NZ,-46.19,168.86,46.99,96,98,4.0,overcast clouds
37,New Norfolk,AU,-42.78,147.06,52.0,85,92,1.99,light rain
38,Tucuma,BR,-0.18,-50.05,78.1,86,2,6.31,clear sky
39,Swan Hill,AU,-35.34,143.55,49.93,64,0,16.17,clear sky
40,Cockburn Town,TC,21.46,-71.14,84.02,79,82,27.96,broken clouds
41,Kailua,US,21.4,-157.74,84.2,66,40,11.41,scattered clouds
42,Bolshaya Dzhalga,RU,45.97,42.7,69.94,39,90,8.81,overcast clouds
43,Klaksvik,FO,62.23,-6.59,46.4,81,92,14.99,light rain
44,Butaritari,KI,3.07,172.79,83.21,64,100,7.09,overcast clouds
45,Kulhudhuffushi,MV,6.62,73.07,82.85,72,40,6.22,scattered clouds
46,Sept-Iles,CA,50.2,-66.38,61.0,77,75,5.26,broken clouds
47,Kalmunai,LK,7.42,81.82,78.46,78,29,11.07,scattered clouds
48,Atuona,PF,-9.8,-139.03,78.31,78,41,17.76,scattered clouds
49,Ushuaia,AR,-54.8,-68.3,42.8,84,75,23.04,broken clouds
50,Kapaa,US,22.08,-159.32,86.0,62,1,12.75,clear sky
51,Yellowknife,CA,62.46,-114.35,60.8,59,40,14.99,scattered clouds
52,La Chapelle-Sur-Erdre,FR,47.3,-1.55,62.6,88,65,5.82,broken clouds
53,Nome,US,64.5,-165.41,55.4,87,90,13.87,overcast clouds
54,Barrow,US,71.29,-156.79,42.8,87,90,21.92,overcast clouds
55,Nanakuli,US,21.39,-158.15,89.6,52,40,8.05,scattered clouds
56,Muyezerskiy,RU,63.93,31.65,60.33,81,100,11.9,light rain
57,Umm Kaddadah,SD,13.6,26.69,82.33,59,25,14.12,scattered clouds
58,Carnarvon,AU,-24.87,113.63,62.6,82,94,9.17,overcast clouds
59,Bredasdorp,ZA,-34.53,20.04,48.2,93,22,4.7,few clouds
60,Labytnangi,RU,66.66,66.42,51.39,83,74,6.78,light rain
61,Karaton,ID,-6.34,106.1,77.0,78,20,4.7,haze
62,Longyearbyen,SJ,78.22,15.64,39.2,72,40,11.41,scattered clouds
63,Coruripe,BR,-10.13,-36.18,72.43,87,97,6.6,light rain
64,Katsuura,JP,35.13,140.3,80.01,79,100,3.0,moderate rain
65,Hervey Bay,AU,-25.3,152.85,64.0,30,0,14.99,clear sky
66,Raudeberg,NO,61.99,5.14,54.0,94,100,14.85,light rain
67,Mandera,KE,3.94,41.87,76.93,57,100,17.47,overcast clouds
68,Avarua,CK,-21.21,-159.78,77.0,69,9,12.75,clear sky
69,Fortuna,US,40.6,-124.16,68.0,77,1,14.99,clear sky
70,Jiexiu,CN,37.02,111.91,72.52,70,62,1.12,broken clouds
71,Hithadhoo,MV,-0.6,73.08,83.1,79,7,14.45,clear sky
72,Puerto Ayora,EC,-0.74,-90.35,66.99,87,78,5.99,broken clouds
73,Tiksi,RU,71.69,128.87,41.0,91,100,3.0,light rain
74,Nakanojo,JP,36.58,138.85,75.99,87,100,1.01,light rain
75,Ancud,CL,-41.87,-73.82,46.99,100,75,9.17,broken clouds
76,Dikson,RU,73.51,80.55,48.13,75,96,8.05,overcast clouds
77,Kudahuvadhoo,MV,2.67,72.89,83.57,69,37,7.16,scattered clouds
78,Weymouth,US,42.22,-70.94,75.2,88,45,10.29,light rain
79,Andra,RU,62.51,65.89,52.34,91,72,10.54,broken clouds
80,Mahebourg,MU,-20.41,57.7,69.8,77,40,12.75,scattered clouds
81,Robertsport,LR,6.75,-11.37,76.24,90,100,10.18,moderate rain
82,Salamiyah,SY,35.01,37.05,68.61,73,0,7.07,clear sky
83,Lavrentiya,RU,65.58,-171.0,47.12,94,99,6.35,light rain
84,Cape Town,ZA,-33.93,18.42,50.0,93,5,1.12,fog
85,Morondava,MG,-20.28,44.28,69.21,54,0,10.83,clear sky
86,Punto Fijo,VE,11.7,-70.2,84.47,73,59,11.52,light rain
87,Harper,LR,4.38,-7.72,75.83,88,68,11.32,broken clouds
88,Tutayev,RU,57.89,39.54,50.0,100,40,3.27,scattered clouds
89,Svetlogorsk,BY,52.63,29.73,56.35,79,22,7.31,few clouds
90,Provideniya,RU,64.38,-173.3,51.69,81,100,6.69,light rain
91,Kundiawa,PG,-6.02,144.97,69.84,64,88,2.62,overcast clouds
92,Puerto Escondido,MX,15.85,-97.07,84.2,62,90,2.26,moderate rain
93,Lumeje,AO,-11.55,20.78,68.88,34,68,4.81,broken clouds
94,Kamaishi,JP,39.27,141.88,73.4,94,75,4.7,light intensity drizzle
95,Cherskiy,RU,68.75,161.3,35.98,94,100,23.06,light rain
96,Tripoli,LY,32.88,13.19,77.88,66,0,4.9,clear sky
97,Tenenkou,ML,14.46,-4.92,77.41,68,77,5.08,broken clouds
98,Castro,BR,-24.79,-50.01,42.66,93,10,6.55,clear sky
99,Mouila,GA,-1.87,11.06,73.63,80,96,1.79,overcast clouds
100,Saint Anthony,US,45.02,-93.22,86.0,58,20,6.93,few clouds
101,Linqiong,CN,30.42,103.46,78.01,100,40,0.81,scattered clouds
102,Nikolskoye,RU,59.7,30.79,62.6,77,75,6.71,light intensity shower rain
103,Lunino,RU,53.59,45.23,57.0,52,0,4.47,clear sky
104,Kota Kinabalu,MY,5.97,116.07,78.01,88,20,3.36,few clouds
105,Shimoda,JP,34.67,138.95,77.0,94,75,6.93,light intensity shower rain
